"PK","Lng","Lat"
"577","-73.652435","8.102518999999999"
"578","-73.655597","8.110994"
"579","-73.65875800000001","8.119469"
"580","-73.661925","8.127941999999999"
"581","-73.665088","8.136416000000001"
"582","-73.66825799999999","8.144888"
"583","-73.671425","8.153361"
"584","-73.674588","8.161835999999999"
"585","-73.677751","8.170310000000001"
"586","-73.680913","8.178785"
"587","-73.684077","8.18726"
"588","-73.687235","8.195736"
"589","-73.690229","8.204266000000001"
"590","-73.692438","8.213036000000001"
"591","-73.69465099999999","8.221805"
"592","-73.696862","8.230574000000001"
"593","-73.69977799999999","8.239129999999999"
"594","-73.702872","8.247629999999999"
"595","-73.70596399999999","8.256131"
"596","-73.709062","8.26463"
"597","-73.71216099999999","8.273128"
"598","-73.71526299999999","8.281625"
"599","-73.71455899999999","8.290236999999999"
"600","-73.71184","8.298788999999999"
"601","-73.714479","8.307426"
"602","-73.716052","8.316274999999999"
"603","-73.71679899999999","8.325279999999999"
"604","-73.71929799999999","8.333971999999999"
"605","-73.720495","8.342822"
"606","-73.719572","8.351817"
"607","-73.718659","8.360813"
"608","-73.717741","8.369808000000001"
"609","-73.716821","8.378803"
"610","-73.71585899999999","8.387794"
"611","-73.71489699999999","8.396784999999999"
"612","-73.713938","8.405775999999999"
"613","-73.712979","8.414766999999999"
"614","-73.712012","8.423757"
"615","-73.711066","8.432748999999999"
"616","-73.71011900000001","8.441741"
"617","-73.709172","8.450734000000001"
"618","-73.708237","8.459727000000001"
"619","-73.70730399999999","8.468721"
"620","-73.70637600000001","8.477715"
"621","-73.705946","8.486732"
"622","-73.706284","8.495767000000001"
"623","-73.70661800000001","8.504802"
"624","-73.706958","8.513837000000001"
"625","-73.707289","8.522872"
"626","-73.70713499999999","8.531886"
"627","-73.704515","8.540542"
"628","-73.701846","8.549184"
"629","-73.699179","8.557827"
"630","-73.69729","8.566667000000001"
"631","-73.695566","8.575544000000001"
"632","-73.693843","8.584421000000001"
"633","-73.692125","8.593299999999999"
"634","-73.690411","8.602179"
"635","-73.688699","8.611058"
"636","-73.686993","8.619939"
"637","-73.68528999999999","8.628819999999999"
"638","-73.68359700000001","8.637703"
"639","-73.68347300000001","8.646716"
"640","-73.684217","8.655727000000001"
"641","-73.684969","8.664737000000001"
"642","-73.685723","8.673748"
"643","-73.686474","8.682758"
"644","-73.68722699999999","8.691768"
"645","-73.68798099999999","8.700779000000001"
"646","-73.68874099999999","8.709788"
"647","-73.689494","8.718799000000001"
"648","-73.690248","8.727809000000001"
"649","-73.69100299999999","8.736819000000001"
"650","-73.69175300000001","8.74583"
"651","-73.692505","8.75484"
"652","-73.69326","8.76385"
"653","-73.694018","8.77286"
"654","-73.694777","8.78187"
"655","-73.695527","8.79088"
"656","-73.696282","8.79989"
"657","-73.697042","8.8089"
"658","-73.697619","8.817921"
"659","-73.69791499999999","8.826957999999999"
"660","-73.69821","8.835993999999999"
"661","-73.698503","8.845031000000001"
"662","-73.698795","8.854068"
"663","-73.69908700000001","8.863104"
"664","-73.69813000000001","8.872049000000001"
"665","-73.696077","8.880857000000001"
"666","-73.695374","8.889825999999999"
"667","-73.695683","8.898861999999999"
"668","-73.69599100000001","8.907897999999999"
"669","-73.69629999999999","8.916933999999999"
"670","-73.696609","8.925971000000001"
"671","-73.69539","8.93487"
"672","-73.693772","8.943726"
"673","-73.693923","8.952766"
"674","-73.694078","8.961805999999999"
"675","-73.694238","8.970846"
"676","-73.69439199999999","8.979886"
"677","-73.694542","8.988925999999999"
"678","-73.69470200000001","8.997966"
"679","-73.69441999999999","9.006995999999999"
"680","-73.693585","9.015999000000001"
"681","-73.692746","9.025002000000001"
"682","-73.691908","9.034003999999999"
"683","-73.69008100000001","9.042794000000001"
"684","-73.685919","9.050834"
"685","-73.68635500000001","9.059319"
"686","-73.689548","9.06776"
"687","-73.690494","9.076752000000001"
"688","-73.689924","9.085573"
"689","-73.685305","9.093343000000001"
"690","-73.681966","9.101748000000001"
"691","-73.677387","9.109556"
"692","-73.675608","9.118377000000001"
"693","-73.67302100000001","9.126991"
"694","-73.66938399999999","9.135279000000001"
"695","-73.66575","9.143566999999999"
"696","-73.662116","9.151856"
"697","-73.65848200000001","9.160144000000001"
"698","-73.654847","9.168431999999999"
"699","-73.651211","9.17672"
"700","-73.648743","9.185388"
"701","-73.645304","9.1934"
"702","-73.637986","9.198772999999999"
"703","-73.630668","9.204145"
"704","-73.623349","9.209517"
"705","-73.616034","9.214895"
"706","-73.60871299999999","9.220264"
"707","-73.60139599999999","9.225638"
"708","-73.594409","9.231343000000001"
"709","-73.592158","9.240074999999999"
"710","-73.59017900000001","9.248900000000001"
"711","-73.588201","9.257725000000001"
"712","-73.586219","9.266548999999999"
"713","-73.58423999999999","9.275373999999999"
"714","-73.582261","9.284198"
"715","-73.58027","9.29302"
"716","-73.578288","9.301843999999999"
"717","-73.576305","9.310668"
"718","-73.574325","9.319492"
"719","-73.57234200000001","9.328315999999999"
"720","-73.56726930000001","9.3329053"
"721","-73.568375","9.345964"
"722","-73.56639300000001","9.354787999999999"
"722","-73.56572199999999","9.357773"
"722","-74.425631","6.451598000000001"
"722","-74.431618","6.445714000000001"
"722","-74.44868","6.44212"
"722","-74.45761400000001","6.442204"
"722","-74.466635","6.441622"
"722","-74.484447","6.443342"
"722","-74.493042","6.442985"
"722","-74.501892","6.442266999999999"
"722","-74.50533","6.434674000000001"
"722","-74.513052","6.438232"
"722","-74.518503","6.43855"
"722","-74.524922","6.436075999999999"
"722","-74.531238","6.432557000000001"
"722","-74.53791699999999","6.432263999999999"
"722","-74.54526199999999","6.431847"
"722","-74.550735","6.436766"
"722","-74.554738","6.431807000000001"
"722","-74.562129","6.428908"
"722","-74.566564","6.421143000000001"
"722","-74.57390100000001","6.420525"
"722","-74.57817300000001","6.413927000000001"
"722","-74.575461","6.4058"
"722","-74.578063","6.399003"
"722","-74.58658200000001","6.396999"
"722","-74.592536","6.402763000000001"
"722","-74.599146","6.398306"
"722","-74.606435","6.402576"
"722","-74.612127","6.40721"
"722","-74.614707","6.399449"
"722","-74.615258","6.390546"
"722","-73.71681100000001","8.279560999999999"
"722","-73.72538400000001","8.276602"
"722","-73.734459","8.276621"
"722","-74.623463","6.391439000000001"
"722","-73.743538","8.276706000000001"
"28","-74.275689","4.742679"
"29","-74.28312699999999","4.747785"
"30","-74.29056300000001","4.752894"
"31","-74.297997","4.758003"
